Date;Territoire;Sujet;Thème;Qualité du retour;Média;Articles
25/01/2023;Vaucluse;Un incendie dans une usine chimique;Divers;Factuel;La Provence;Les pompiers interviennent pour maîtriser les flammes
26/01/2023;Alpes-de-Haute-Provence;Une panne d'électricité géante;Réseau;Factuel négatif;La Provence;Des milliers de foyers privés de courant
26/01/2023;Var;Un nouveau parc éolien inauguré;Transition écologique;Positif;Var-Matin;Le parc éolien de Toulon produit désormais de l'électricité
27/01/2023;Hautes-Alpes;Un accident de train cause des perturbations;Transport;Négatif;Le Dauphiné Libéré;Des retards importants sur la ligne Gap-Grenoble
27/01/2023;Alpes-Maritimes;Un nouveau musée ouvert;Culture;Positif;Nice-Matin;Le musée de Nice attire déjà de nombreux visiteurs
28/01/2023;Pyrénées-Orientales;Un festival de musique annulé;Culture;Négatif;L'Indépendant;Le festival de Perpignan annulé en raison de problèmes financiers
28/01/2023;Aude;Un nouveau parc naturel protégé;Environnement;Positif;L'Indépendant;Le parc naturel de la Narbonnaise est désormais protégé
29/01/2023;Hérault;Un nouveau parc éolien inauguré;Transition écologique;Positif;Midi Libre;Le parc éolien de Béziers produit désormais de l'électricité
29/01/2023;Gard;Un accident de la route cause des perturbations;Transport;Négatif;Midi Libre;Des retards importants sur la route nationale
30/01/2023;Lozère;Un nouveau musée ouvert;Culture;Positif;Midi Libre;Le musée de Florac attire déjà de nombreux visiteurs
30/01/2023;Ardèche;Un festival de cinéma annulé;Culture;Négatif;Le Dauphiné Libéré;Le festival d'Aubenas annulé en raison de la météo
31/01/2023;Drôme;Un nouveau parc naturel protégé;Environnement;Positif;Le Dauphiné Libéré;Le parc naturel des Baronnies est désormais protégé
31/01/2023;Vaucluse;Un incendie dans une usine chimique;Divers;Factuel;La Provence;Les pompiers interviennent pour maîtriser les flammes
01/02/2023;Alpes-de-Haute-Provence;Une panne d'électricité géante;Réseau;Factuel négatif;La Provence;Des milliers de foyers privés de courant
01/02/2023;Var;Un nouveau parc éolien inauguré;Transition écologique;Positif;Var-Matin;Le parc éolien de Fréjus produit désormais de l'électricité
02/02/2023;Hautes-Alpes;Un accident de train cause des perturbations;Transport;Négatif;Le Dauphiné Libéré;Des retards importants sur la ligne Briançon-Gap
02/02/2023;Alpes-Maritimes;Un nouveau musée ouvert;Culture;Positif;Nice-Matin;Le musée de Cannes attire déjà de nombreux visiteurs
03/02/2023;Pyrénées-Orientales;Un festival de musique annulé;Culture;Négatif;L'Indépendant;Le festival de Collioure annulé en raison de problèmes financiers
03/02/2023;Aude;Un nouveau parc naturel protégé;Environnement;Positif;L'Indépendant;Le parc naturel de la Clape est désormais protégé
04/02/2023;Hérault;Un nouveau parc éolien inauguré;Transition écologique;Positif;Midi Libre;Le parc éolien de Sète produit désormais de l'électricité
04/02/2023;Gard;Un accident de la route cause des perturbations;Transport;Négatif;Midi Libre;Des retards importants sur la route nationale
05/02/2023;Lozère;Un nouveau musée ouvert;Culture;Positif;Midi Libre;Le musée de Marvejols attire déjà de nombreux visiteurs
05/02/2023;Ardèche;Un festival de cinéma annulé;Culture;Négatif;Le Dauphiné Libéré;Le festival de Largentière annulé en raison de la météo
06/02/2023;Drôme;Un nouveau parc naturel protégé;Environnement;Positif;Le Dauphiné Libéré;Le parc naturel du Diois est désormais protégé
06/02/2023;Vaucluse;Un incendie dans une usine chimique;Divers;Factuel;La Provence;Les pompiers interviennent pour maîtriser les flammes
07/02/2023;Alpes-de-Haute-Provence;Une panne d'électricité géante;Réseau;Factuel négatif;La Provence;Des milliers de foyers privés de courant
07/02/2023;Var;Un nouveau parc éolien inauguré;Transition écologique;Positif;Var-Matin;Le parc éolien de Saint-Raphaël produit désormais de l'électricité
08/02/2023;Hautes-Alpes;Un accident de train cause des perturbations;Transport;Négatif;Le Dauphiné Libéré;Des retards importants sur la ligne Embrun-Gap
08/02/2023;Alpes-Maritimes;Un nouveau musée ouvert;Culture;Positif;Nice-Matin;Le musée de Menton attire déjà de nombreux visiteurs
09/02/2023;Pyrénées-Orientales;Un festival de musique annulé;Culture;Négatif;L'Indépendant;Le festival de Céret annulé en raison de problèmes financiers
09/02/2023;Aude;Un nouveau parc naturel protégé;Environnement;Positif;L'Indépendant;Le parc naturel de la Corbière est désormais protégé
10/02/2023;Hérault;Un nouveau parc éolien inauguré;Transition écologique;Positif;Midi Libre;Le parc éolien de Lodève produit désormais de l'électricité
10/02/2023;Gard;Un accident de la route cause des perturbations;Transport;Négatif;Midi Libre;Des retards importants sur la route nationale
11/02/2023;Lozère;Un nouveau musée ouvert;Culture;Positif;Midi Libre;Le musée de Saint-Chély-d'Apcher attire déjà de nombreux visiteurs
11/02/2023;Ardèche;Un festival de cinéma annulé;Culture;Négatif;Le Dauphiné Libéré;Le festival de Tournon-sur-Rhône annulé en raison de la météo
12/02/2023;Drôme;Un nouveau parc naturel protégé;Environnement;Positif;Le Dauphiné Libéré;Le parc naturel du Tricastin est désormais protégé
12/02/2023;Vaucluse;Un incendie dans une usine chimique;Divers;Factuel;La Provence;Les pompiers interviennent pour maîtriser les flammes
13/02/2023;Alpes-de-Haute-Provence;Une panne d'électricité géante;Réseau;Factuel négatif;La Provence;Des milliers de foyers privés de courant
13/02/2023;Var;Un nouveau parc éolien inauguré;Transition écologique;Positif;Var-Matin;Le parc éolien de Draguignan produit désormais de l'électricité
14/02/2023;Hautes-Alpes;Un accident de train cause des perturbations;Transport;Négatif;Le Dauphiné Libéré;Des retards importants sur la ligne Veynes-Gap
14/02/2023;Alpes-Maritimes;Un nouveau musée ouvert;Culture;Positif;Nice-Matin;Le musée de Grasse attire déjà de nombreux visiteurs
15/02/2023;Pyrénées-Orientales;Un festival de musique annulé;Culture;Négatif;L'Indépendant;Le festival de Prades annulé en raison de problèmes financiers
15/02/2023;Aude;Un nouveau parc naturel protégé;Environnement;Positif;L'Indépendant;Le parc naturel de la Montagne Noire est désormais protégé
16/02/2023;Hérault;Un nouveau parc éolien inauguré;Transition écologique;Positif;Midi Libre;Le parc éolien de Pézenas produit désormais de l'électricité
16/02/2023;Gard;Un accident de la route cause des perturbations;Transport;Négatif;Midi Libre;Des retards importants sur la route nationale
17/02/2023;Lozère;Un nouveau musée ouvert;Culture;Positif;Midi Libre;Le musée de Langogne attire déjà de nombreux visiteurs
17/02/2023;Ardèche;Un festival de cinéma annulé;Culture;Négatif;Le Dauphiné Libéré;Le festival de Bourg-Saint-Andéol annulé en raison de la météo
18/02/2023;Drôme;Un nouveau parc naturel protégé;Environnement;Positif;Le Dauphiné Libéré;Le parc naturel du Royans est désormais protégé
18/02/2023;Vaucluse;Un incendie dans une usine chimique;Divers;Factuel;La Provence;Les pompiers interviennent pour maîtriser les flammes
19/02/2023;Alpes-de-Haute-Provence;Une panne d'électricité géante;Réseau;Factuel négatif;La Provence;Des milliers de foyers privés de courant
19/02/2023;Var;Un nouveau parc éolien inauguré;Transition écologique;Positif;Var-Matin;Le parc éolien de Brignoles produit désormais de l'électricité
20/02/2023;Hautes-Alpes;Un accident de train cause des perturbations;Transport;Négatif;Le Dauphiné Libéré;Des retards importants sur la ligne Briançon-Gap
20/02/2023;Alpes-Maritimes;Un nouveau musée ouvert;Culture;Positif;Nice-Matin;Le musée de Antibes attire déjà de nombreux visiteurs
21/02/2023;Pyrénées-Orientales;Un festival de musique annulé;Culture;Négatif;L'Indépendant;Le festival de Arles-sur-Tech annulé en raison de problèmes financiers
21/02/2023;Aude;Un nouveau parc naturel protégé;Environnement;Positif;L'Indépendant;Le parc naturel de la Haute-Vallée de l'Aude est désormais protégé
22/02/2023;Hérault;Un nouveau parc éolien inauguré;Transition écologique;Positif;Midi Libre;Le parc éolien de Agde produit désormais de l'électricité
22/02/2023;Gard;Un accident de la route cause des perturbations;Transport;Négatif;Midi Libre;Des retards importants sur la route nationale
23/02/2023;Lozère;Un nouveau musée ouvert;Culture;Positif;Midi Libre;Le musée de Mende attire déjà de nombreux visiteurs
23/02/2023;Ardèche;Un festival de cinéma annulé;Culture;Négatif;Le Dauphiné Libéré;Le festival de Privas annulé en raison de la météo
24/02/2023;Drôme;Un nouveau parc naturel protégé;Environnement;Positif;Le Dauphiné Libéré;Le parc naturel du Vercors est désormais protégé
24/02/2023;Vaucluse;Un incendie dans une usine chimique;Divers;Factuel;La Provence;Les pompiers interviennent pour maîtriser les flammes
25/02/2023;Alpes-de-Haute-Provence;Une panne d'électricité géante;Réseau;Factuel négatif;La Provence;Des milliers de foyers privés de courant
25/02/2023;Var;Un nouveau parc éolien inauguré;Transition écologique;Positif;Var-Matin;Le parc éolien de Toulon produit désormais de l'électricité
26/02/2023;Hautes-Alpes;Un accident de train cause des perturbations;Transport;Négatif;Le Dauphiné Libéré;Des retards importants sur la ligne Gap-Grenoble
26/02/2023;Alpes-Maritimes;Un nouveau musée ouvert;Culture;Positif;Nice-Matin;Le musée de Nice attire déjà de nombreux visiteurs
27/02/2023;Pyrénées-Orientales;Un festival de musique annulé;Culture;Négatif;L'Indépendant;Le festival de Perpignan annulé en raison de problèmes financiers
27/02/2023;Aude;Un nouveau parc naturel protégé;Environnement;Positif;L'Indépendant;Le parc naturel de la Narbonnaise est désormais protégé
28/02/2023;Hérault;Un nouveau parc éolien inauguré;Transition écologique;Positif;Midi Libre;Le parc éolien de Béziers produit désormais de l'électricité
28/02/2023;Gard;Un accident de la route cause des perturbations;Transport;Négatif;Midi Libre;Des retards importants sur la route nationale
01/03/2023;Lozère;Un nouveau musée ouvert;Culture;Positif;Midi Libre;Le musée de Florac attire déjà de nombreux visiteurs
01/03/2023;Ardèche;Un festival de cinéma annulé;Culture;Négatif;Le Dauphiné Libéré;Le festival d'Aubenas annulé en raison de la météo
02/03/2023;Drôme;Un nouveau parc naturel protégé;Environnement;Positif;Le Dauphiné Libéré;Le parc naturel des Baronnies est désormais protégé
02/03/2023;Vaucluse;Un incendie dans une usine chimique;Divers;Factuel;La Provence;Les pompiers interviennent pour maîtriser les flammes
03/03/2023;Alpes-de-Haute-Provence;Une panne d'électricité géante;Réseau;Factuel négatif;La Provence;Des milliers de foyers privés de courant
03/03/2023;Var;Un nouveau parc éolien inauguré;Transition écologique;Positif;Var-Matin;Le parc éolien de Fréjus produit désormais de l'électricité
04/03/2023;Hautes-Alpes;Un accident de train cause des perturbations;Transport;Négatif;Le Dauphiné Libéré;Des retards importants sur la ligne Briançon-Gap
04/03/2023;Alpes-Maritimes;Un nouveau musée ouvert;Culture;Positif;Nice-Matin;Le musée de Cannes attire déjà de nombreux visiteurs
05/03/2023;Pyrénées-Orientales;Un festival de musique annulé;Culture;Négatif;L'Indépendant;Le festival de Collioure annulé en raison de problèmes financiers
05/03/2023;Aude;Un nouveau parc naturel protégé;Environnement;Positif;L'Indépendant;Le parc naturel de la Clape est désormais protégé
06/03/2023;Hérault;Un nouveau parc éolien inauguré;Transition écologique;Positif;Midi Libre;Le parc éolien de Sète produit désormais de l'électricité
06/03/2023;Gard;Un accident de la route cause des perturbations;Transport;Négatif;Midi Libre;Des retards importants sur la route nationale
07/03/2023;Lozère;Un nouveau musée ouvert;Culture;Positif;Midi Libre;Le musée de Marvejols attire déjà de nombreux visiteurs
07/03/2023;Ardèche;Un festival de cinéma annulé;Culture;Négatif;Le Dauphiné Libéré;Le festival de Largentière annulé en raison de la météo
08/03/2023;Drôme;Un nouveau parc naturel protégé;Environnement;Positif;Le Dauphiné Libéré;Le parc naturel du Diois est désormais protégé
08/03/2023;Vaucluse;Un incendie dans une usine chimique;Divers;Factuel;La Provence;Les pompiers interviennent pour maîtriser les flammes
09/03/2023;Alpes-de-Haute-Provence;Une panne d'électricité géante;Réseau;Factuel négatif;La Provence;Des milliers de foyers privés de courant
09/03/2023;Var;Un nouveau parc éolien inauguré;Transition écologique;Positif;Var-Matin;Le parc éolien de Saint-Raphaël produit désormais de l'électricité
10/03/2023;Hautes-Alpes;Un accident de train cause des perturbations;Transport;Négatif;Le Dauphiné Libéré;Des retards importants sur la ligne Embrun-Gap
10/03/2023;Alpes-Maritimes;Un nouveau musée ouvert;Culture;Positif;Nice-Matin;Le musée de Menton attire déjà de nombreux visiteurs
11/03/2023;Pyrénées-Orientales;Un festival de musique annulé;Culture;Négatif;L'Indépendant;Le festival de Céret annulé en raison de problèmes financiers
11/03/2023;Aude;Un nouveau parc naturel protégé;Environnement;Positif;L'Indépendant;Le parc naturel de la Corbière est désormais protégé
12/03/2023;Hérault;Un nouveau parc éolien inauguré;Transition écologique;Positif;Midi Libre;Le parc éolien de Lodève produit désormais de l'électricité
12/03/2023;Gard;Un accident de la route cause des perturbations;Transport;Négatif;Midi Libre;Des retards importants sur la route nationale
13/03/2023;Lozère;Un nouveau musée ouvert;Culture;Positif;Midi Libre;Le musée de Saint-Chély-d'Apcher attire déjà de nombreux visiteurs
13/03/2023;Ardèche;Un festival de cinéma annulé;Culture;Négatif;Le Dauphiné Libéré;Le festival de Tournon-sur-Rhône annulé en raison de la météo
14/03/2023;Drôme;Un nouveau parc naturel protégé;Environnement;Positif;Le Dauphiné Libéré;Le parc naturel du Tricastin est désormais protégé
14/03/2023;Vaucluse;Un incendie dans une usine chimique;Divers;Factuel;La Provence;Les pompiers interviennent pour maîtriser les flammes
15/03/2023;Alpes-de-Haute-Provence;Une panne d'électricité géante;Réseau;Factuel négatif;La Provence;Des milliers de foyers privés de courant
15/03/2023;Var;Un nouveau parc éolien inauguré;Transition écologique;Positif;Var-Matin;Le parc éolien de Draguignan produit désormais de l'électricité
16/03/2023;Hautes-Alpes;Un accident de train cause des perturbations;Transport;Négatif;Le Dauphiné Libéré;Des retards importants sur la ligne Veynes-Gap
16/03/2023;Alpes-Maritimes;Un nouveau musée ouvert;Culture;Positif;Nice-Matin;Le musée de Grasse attire déjà de nombreux visiteurs
17/03/2023;Pyrénées-Orientales;Un festival de musique annulé;Culture;Négatif;L'Indépendant;Le festival de Prades annulé en raison de problèmes financiers
17/03/2023;Aude;Un nouveau parc naturel protégé;Environnement;Positif;L'Indépendant;Le parc naturel de la Montagne Noire est désormais protégé
18/03/2023;Hérault;Un nouveau parc éolien inauguré;Transition écologique;Positif;Midi Libre;Le parc éolien de Pézenas produit désormais de l'électricité
18/03/2023;Gard;Un accident de la route cause des perturbations;Transport;Négatif;Midi Libre;Des retards importants sur la route nationale
19/03/2023;Lozère;Un nouveau musée ouvert;Culture;Positif;Midi Libre;Le musée de Langogne attire déjà de nombreux visiteurs
19/03/2023;Ardèche;Un festival de cinéma annulé;Culture;Négatif;Le Dauphiné Libéré;Le festival de Bourg-Saint-Andéol annulé en raison de la météo
20/03/2023;Drôme;Un nouveau parc naturel protégé;Environnement;Positif;Le Dauphiné Libéré;Le parc naturel du Royans est désormais protégé
20/03/2023;Vaucluse;Un incendie dans une usine chimique;Divers;Factuel;La Provence;Les pompiers interviennent pour maîtriser les flammes
21/03/2023;Alpes-de-Haute-Provence;Une panne d'électricité géante;Réseau;Factuel négatif;La Provence;Des milliers de foyers privés de courant
21/03/2023;Var;Un nouveau parc éolien inauguré;Transition écologique;Positif;Var-Matin;Le parc éolien de Brignoles produit désormais de l'électricité
22/03/2023;Hautes-Alpes;Un accident de train cause des perturbations;Transport;Négatif;Le Dauphiné Libéré;Des retards importants sur la ligne Briançon-Gap
22/03/2023;Alpes-Maritimes;Un nouveau musée ouvert;Culture;Positif;Nice-Matin;Le musée de Antibes attire déjà de nombreux visiteurs
23/03/2023;Pyrénées-Orientales;Un festival de musique annulé;Culture;Négatif;L'Indépendant;Le festival de Arles-sur-Tech annulé en raison de problèmes financiers
23/03/2023;Aude;Un nouveau parc naturel protégé;Environnement;Positif;L'Indépendant;Le parc naturel de la Haute-Vallée de l'Aude est désormais protégé
24/03/2023;Hérault;Un nouveau parc éolien inauguré;Transition écologique;Positif;Midi Libre;Le parc éolien de Agde produit désormais de l'électricité
24/03/2023;Gard;Un accident de la route cause des perturbations;Transport;Négatif;Midi Libre;Des retards importants sur la route nationale
25/03/2023;Lozère;Un nouveau musée ouvert;Culture;Positif;Midi Libre;Le musée de Mende attire déjà de nombreux visiteurs
25/03/2023;Ardèche;Un festival de cinéma annulé;Culture;Négatif;Le Dauphiné Libéré;Le festival de Privas annulé en raison de la météo
26/03/2023;Drôme;Un nouveau parc naturel protégé;Environnement;Positif;Le Dauphiné Libéré;Le parc naturel du Vercors est désormais protégé
26/03/2023;Vaucluse;Un incendie dans une usine chimique;Divers;Factuel;La Provence;Les pompiers interviennent pour maîtriser les flammes
27/03/2023;Alpes-de-Haute-Provence;Une panne d'électricité géante;Réseau;Factuel négatif;La Provence;Des milliers de foyers privés de courant
27/03/2023;Var;Un nouveau parc éolien inauguré;Transition écologique;Positif;Var-Matin;Le parc éolien de Toulon produit désormais de l'électricité
28/03/2023;Hautes-Alpes;Un accident de train cause des perturbations;Transport;Négatif;Le Dauphiné Libéré;Des retards importants sur la ligne Gap-Grenoble
28/03/2023;Alpes-Maritimes;Un nouveau musée ouvert;Culture;Positif;Nice-Matin;Le musée de Nice attire déjà de nombreux visiteurs
29/03/2023;Pyrénées-Orientales;Un festival de musique annulé;Culture;Négatif;L'Indépendant;Le festival de Perpignan annulé en raison de problèmes financiers
29/03/2023;Aude;Un nouveau parc naturel protégé;Environnement;Positif;L'Indépendant;Le parc naturel de la Narbonnaise est désormais protégé
30/03/2023;Hérault;Un nouveau parc éolien inauguré;Transition écologique;Positif;Midi Libre;Le parc éolien de Béziers produit désormais de l'électricité
30/03/2023;Gard;Un accident de la route cause des perturbations;Transport;Négatif;Midi Libre;Des retards importants sur la route nationale
31/03/2023;Lozère;Un nouveau musée ouvert;Culture;Positif;Midi Libre;Le musée de Florac attire déjà de nombreux visiteurs
31/03/2023;Ardèche;Un festival de cinéma annulé;Culture;Négatif;Le Dauphiné Libéré;Le festival d'Aubenas annulé en raison de la météo
01/04/2023;Drôme;Un nouveau parc naturel protégé;Environnement;Positif;Le Dauphiné Libéré;Le parc naturel des Baronnies est désormais protégé
01/04/2023;Vaucluse;Un incendie dans une usine chimique;Divers;Factuel;La Provence;Les pompiers interviennent pour maîtriser les flammes
02/04/2023;Alpes-de-Haute-Provence;Une panne d'électricité géante;Réseau;Factuel négatif;La Provence;Des milliers de foyers privés de courant
02/04/2023;Var;Un nouveau parc éolien inauguré;Transition écologique;Positif;Var-Matin;Le parc éolien de Fréjus produit désormais de l'électricité
03/04/2023;Hautes-Alpes;Un accident de train cause des perturbations;Transport;Négatif;Le Dauphiné Libéré;Des retards importants sur la ligne Briançon-Gap
03/04/2023;Alpes-Maritimes;Un nouveau musée ouvert;Culture;Positif;Nice-Matin;Le musée de Cannes attire déjà de nombreux visiteurs
04/04/2023;Pyrénées-Orientales;Un festival de musique annulé;Culture;Négatif;L'Indépendant;Le festival de Collioure annulé en raison de problèmes financiers
04/04/2023;Aude;Un nouveau parc naturel protégé;Environnement;Positif;L'Indépendant;Le parc naturel de la Clape est désormais protégé
05/04/2023;Hérault;Un nouveau parc éolien inauguré;Transition écologique;Positif;Midi Libre;Le parc éolien de Sète produit désormais de l'électricité
05/04/2023;Gard;Un accident de la route cause des perturbations;Transport;Négatif;Midi Libre;Des retards importants sur la route nationale
06/04/2023;Lozère;Un nouveau musée ouvert;Culture;Positif;Midi Libre;Le musée de Marvejols attire déjà de nombreux visiteurs
06/04/2023;Ardèche;Un festival de cinéma annulé;Culture;Négatif;Le Dauphiné Libéré;Le festival de Largentière annulé en raison de la météo
07/04/2023;Drôme;Un nouveau parc naturel protégé;Environnement;Positif;Le Dauphiné Libéré;Le parc naturel du Diois est désormais protégé
07/04/2023;Vaucluse;Un incendie dans une usine chimique;Divers;Factuel;La Provence;Les pompiers interviennent pour maîtriser les flammes
08/04/2023;Alpes-de-Haute-Provence;Une panne d'électricité géante;Réseau;Factuel négatif;La Provence;Des milliers de foyers privés de courant
08/04/2023;Var;Un nouveau parc éolien inauguré;Transition écologique;Positif;Var-Matin;Le parc éolien de Saint-Raphaël produit désormais de l'électricité
09/04/2023;Hautes-Alpes;Un accident de train cause des perturbations;Transport;Négatif;Le Dauphiné Libéré;Des retards importants sur la ligne Embrun-Gap
09/04/2023;Alpes-Maritimes;Un nouveau musée ouvert;Culture;Positif;Nice-Matin;Le musée de Menton attire déjà de nombreux visiteurs
10/04/2023;Pyrénées-Orientales;Un festival de musique annulé;Culture;Négatif;L'Indépendant;Le festival de Céret annulé en raison de problèmes financiers
